
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

//Trader 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		SodaCan_Kvass, 			*,		20, 		1
		SodaCan_Pipsi, 			*,		20, 		1
		SodaCan_Spite, 			*,		20, 		1
		WaterBottle,			*,		50,		2
		Canteen,				*,		80,		4
		Vodka,					*,		120,		8
		MSFCBeerZhigulevskoeBarnoe,	*,		100,		5
		MSFCBeerZhigulevskoeSoviet,	*,		100,		5
		MSFCBeerBaltika9,	*,		100,		5
		MSFCTushonkaCowCan,	*,		75,		5
		MSFCCornTsarReceptCan,	*,		75,		5
		MSFCCucumbersLoradoCan,	*,		75,		5
		MSFCMilkSgushenkaCan,	*,		75,		5
		MSFCPeasDyadyaVanyaCan,	*,		75,		5
	    MSFCBeerZhigulevskoe,	*,		75,		5
		MSFCBankaJackSmithWhiskey,	*,		150,		5
		MSFCBankaBeerAmsterdam,	*,		150,		5
		MSFCBankaBeerPivasProvodnik,	*,		150,		5
		MSFCBankaBaikal,	*,		150,		5
		MSFCBankaBeerHeineken,	*,		150,		5
		MSFCBankaBeerFranziskanerWeissbier,	*,		150,		5
		MSFCBankaSTALKEREnergy,	*,		150,		5
		MSFCBankaCJ,	*,		75,		5
		MSFCBankaSPRUNK,	*,		75,		5
		MSFCBankaSPRUNKextreme,	*,		15,		5
		MSFCCanteenATACSAU,	*,		80,		25
		MSFCCanteenATACSFG,	*,		80,		25
		MSFCCanteenSURPATDesert,	*,		80,		25
		MSFCCanteenSURPAT,	*,		80,		25
		MSFCCanteenMulticamSnow,	*,		80,		25
		MSFCCanteenMulticamBlack,	*,		80,		25
		MSFCCanteenMulticamTropic,	*,		80,		25
		MSFCCanteenMulticam,	*,		80,		25
		MSFCCanteenDesert,	*,		80,		25
		MSFCCanteenGreen,	*,		80,		25
		MSFCCanteenBlack,	*,		80,		25
		
	<Category> Medical Supplies
		//Rag,					1,		1,		-1
		BandageDressing,		2,		3,		1
		BloodTestKit,			*,		5,		2
		//InjectionVial,		*,		5, 		2
		Thermometer,			*,		5,		2
		DisinfectantSpray,		*,		8,		5
		//Syringe,				*,		8, 		5
		Heatpack,				*,		10,		5
		StartKitIV,				*,		10,		6
		SalineBag,				*,		15,		8
		BloodBagEmpty,			*,		18,		10
		FirstAidKit,			*,		20,		10
		//Defibrillator,		*,		35, 	20
		
	 <Category> ToxicZoneNBC
		ToxicCure,			*,		2500,	500	
		
	<Category> Medications
		CharcoalTablets,		*,		2,		1
		DisinfectantAlcohol,	*,		4,		2
		VitaminBottle,			*,		6,		4
		TetracyclineAntibiotics,*,		8,		5
		PainkillerTablets,		*,		10,		6
		Epinephrine,			*,		20,		10
		Morphine,				*,		25,		15	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1

//Trader 1
<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		3,		1
		Wrench,					*,		3,		1
		SewingKit,				*,		4, 		1
		Pliers,					*,		4, 		1
		LeatherSewingKit,		*,		5, 		2
		Whetstone,				*,		5,		2
		Hammer,					*,		7,		3
		Hacksaw,				*,		7,		3
		HandSaw,				*,		7,		3
		WeaponCleaningKit,		*,		8, 		3
		KitchenKnife,			*,		8,		4
		SteakKnife,				*,		9,		4
		HuntingKnife,			*,		9,		4
		CanOpener,				*,		10,		4
		Compass,				*,		10,		4
		OrienteeringCompass,	*,		10,		4
		Hatchet,				*,		10,		4
		CombatKnife,			*,		10,		5
		Machete,				*,		12,		6	
		ChernarusMap,			*,		15,		5
		Lockpick,				*,		20,		10
		Binoculars,				*,		30,		15		
		FishingRod,				*,		60,		25
		MSFC_Huntsman_Knife,	*,		100,		65	
	    MSFC_DownrangeTomahawk,	*,		100,		65
		
	<Category> Tools (big)
		LugWrench,				*,		4,		1
		Crowbar,				*,		5,		3
		Shovel,					*,		6,		3
		Pickaxe,				*,		10,		4
		SledgeHammer,			*,		12,		6
		WoodAxe,				*,		20,		8
		FirefighterAxe,			*,		30,		12
		
	<Category> Electronics
		Battery9V,				*,		15,		3
		PersonalRadio,			*,		10,		5
		Megaphone,				*,		30,		15
		ElectronicRepairKit,	*,		35,		17
		CableReel,				*,		40,		20
		BatteryCharger,			*,		40,		20
		BaseRadio,				*,		50,		30
		Rangefinder,			*,		60,		35
		NVGoggles,				*,		7000,	200
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2,		1
		Chemlight_Green,		*,		2,		1
		Chemlight_Red,			*,		2,		1
		Chemlight_White,		*,		2,		1
		Chemlight_Yellow,		*,		2,		1
		Roadflare,				*,		4,		2
		Matchbox,				*,		6,		3
		Flashlight,				*,		15,		5
		PortableGasLamp,		*,		25,		10
		PortableGasStove,		*,		30,		15
		Headtorch_Black,		*,		40,		20
		Headtorch_Grey,			*,		40,		20
		Spotlight,				*,		600,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		5,		2
		Pot,					M,		25,		10
		Tripod,					*,		35,		15
		BearTrap,				*,		50,		30
	
	<Category> Hardware Supplies
		Paper,					*,		1,		0
		Pen_Blue,				*,		2,		1
		Rope,					*,		4,		1
		TannedLeather,			*,		4,		1
		AntiPestsSpray,			*,		8,		4
		MetalWire,				*,		15,		6
		EpoxyPutty,				*,		15,		6
		DuctTape,				*,		20,		8
		XmasLights,				*,		25,		10
		HandcuffKeys,			*,		35,		12
		Handcuffs,				*,		50,		15
		Netting,				1,		50,		10
		BurlapSack,				*,		50,		10
		WoodenPlank,			10,		500,		5
		MetalPlate,				*,		60,		18
		SmallProtectorCase,		*,		70,		30
		AmmoBox,				*,		80,		35
		SmallGasCanister,		*,		80,		35
		MediumGasCanister,		*,		100,	40
		LargeGasCanister,		*,		200,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		700,	120
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500		
		CarTent,				*,		5000,	700
		LargeTent,				*,		7000,	1200
		
			<Category> Storage
		Msp_LargeAmmoBox,										*,		400,		100
		Msp_AmericanAppleCrate,		                    		*,		600,		60
		Msp_AppleCrate,		                    				*,		600,		60
		Msp_PlasticCrate,		                    			*,		600,		60
		Msp_AmmoCrate,		                    				*,		600,		60
		Msp_TackleBox,		                    				*,		600,		60
		Msp_TackleBox_Black,		                    		*,		600,		60
		Msp_CoolerBox,		                    				*,		600,		60
		Msp_CoolerBox_Black,		                    		*,		600,		60
		Msp_SmallFridge,		                    			*,		1600,		400
		Msp_JackDanielsFridge,		                    		*,		1600,		400
		Msp_GrenadeBox,		                    				*,		1600,		400
		Msp_TreasureChest,		                    			*,		1600,		400
		Msp_MedievalChest,		                    			*,		1600,		400
	<Category> Barrels
		Msp_Barrel_Donation,		                    		*,		1600,		400
		Msp_Barrel_Donation_Ammo,		                    	*,		1600,		400
		Msp_Barrel_Donation_Guns,		                    	*,		1600,		400
		Msp_Barrel_Donation_Food,		                    	*,		1600,		400
		Msp_Barrel_Donation_Medical,		                    *,		1600,		400
		Msp_Barrel_Donation_BloodONegative,		                *,		1600,		400
		Msp_WaterBarrel_Plastic,		                    	*,		1600,		400
		Msp_WaterBarrel_Plastic_Yellow,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Green,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Red,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Black,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_White,		                	*,		1600,		400
		Msp_WaterBarrel_Valve_Faucet,		                	*,		100,		100
		Msp_WaterBarrel,		                				*,		1600,		400
		Msp_WaterBarrel_Darkwood,		                		*,		1600,		400
		Msp_WaterBarrel_Stand,		                			*,		100,		100
		Msp_WaterBarrel_Stand_Darkwood,		                	*,		100,		100
		Msp_WaterBarrel_Valve,		                			*,		100,		100
		Msp_WaterBarrel_Valve_Darkwood,		                	*,		100,		100
	<Category> Kits and base items
		Msp_FireplaceRailing,									*,		600,	200
		Msp_EmptySquarePlanterBox,								*,		600,	200
		Msp_EmptyPlanterBox,									*,		600,	200
		Msp_FishingRodsRack_Kit,								*,		2000,	300	
		Msp_GunCabinet_Kit,										*,		2000,	300	
		Msp_GunRack_Kit,										*,		3000,	400	
		Msp_DoubleGunRack_Kit,									*,		4000,	500	
		Msp_MilitaryLocker_Kit,									*,		5000,	600	
		Msp_Locker_Kit,											*,		5000,	600	
		Msp_StorageBox_Kit,										*,		5000,	600	
		Msp_ToolsBench_Blue_Kit,								*,		5000,	600	
		Msp_ToolsBench_Grey_Kit,								*,		5000,	600	
		Msp_ToolsBench_Red_Kit,									*,		5000,	600	
		Msp_BlueFridge_Kit,										*,		5000,	600	
		Msp_RetroBlueFridge_Kit,								*,		5000,	600	
		Msp_RustyFridge_Kit,									*,		5000,	600	
		Msp_Blue50sFridge_Kit,									*,		5000,	600	
		Msp_50sFridge_Kit,										*,		5000,	600	
		Msp_Freezer_Kit,										*,		5000,	600	
		Msp_Gazebo_Kit,											*,		5000,	600	
		Msp_StoneFireplace_Kit,									*,		5000,	600
		Msp_Greenhouse_Kit,										*,		5000,	600	
		Msp_GreenhouseWood_Kit,									*,		5000,	600	
		Msp_Bookcase_Kit,										*,		5000,	600	
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Fluffy Pets <3
		Bear_Beige,				*,		5,		1
		Bear_Dark,				*,		5,		1
		Bear_Pink,				*,		5,		1
		Bear_White,				*,		5,		1

//Trader 2		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,	W,		15,		6
		StunBaton,				W,		15,		9
		Pipe,					W,		25,		10
		CattleProd,				W,		25,		15
		BaseballBat,			W,		35,		17
		NailedBaseballBat,		W,		45,		20	
		Msp_VorpalKnife,									W,      1000,   	100
		Msp_GoodNightBat,									W,      5000,    	250
		Msp_BeanBasher,										W,      5000,    	250
		Msp_PipeAxe,										W,      5000,    	250
		Msp_PlainBat,										W,      5000,    	250
		Msp_PlainBat_Blue,									W,      5000,    	250
		Msp_PlainBat_Black,									W,      5000,    	250
		Msp_BlunderBat,										W,      5000,    	250
		Msp_BassAxe,										W,      5000,    	250
		
	<Category> Sidearms
		MakarovIJ70,			W,		100,	50
		CZ75,					W,		135,	70
		FNX45,					W,		175,	90
		Glock19,				W,		300,	100
		MKII,					W,		320,	120
		Colt1911,				W,		340,	100
		Engraved1911,			W,		380,	180
		
	<Category> Rifles
		Izh18,					W,		350,	175
		Mosin9130,				W,		1200,	350
		CZ527,					W,		650,	150
		Winchester70,			W,		1000,	250
		SKS,					W,		700,	300
		
	<Category> Shotguns
		Mp133Shotgun,			W,		500,	250
		Izh43Shotgun,			W,		900,	100
		Saiga,					W,		1500,	600
		
	<Category> Submachine Guns
		CZ61,					W,		600,	100
		UMP45,					W,		750,	150
		MP5K,					W,		800,	250	
		AKS74U,					W,		1100,	275
		
	<Category> Assault Rifles
		FAL,					W,		1800,	350
		AKM,					W,		1300,	250
		AK101,					W,		1500,	250
		AK74,					W,		1600,	250
		M4A1,					W,		2000,	350
		
	<Category> SQUAD MSF-C Weapons
		MSFC_OSV96,	W,		4500,		500
		MSFC_PP19_Vityaz,	W,		500,		250
		
		MSFC_MSBS,	W,		2000,		350
		
		MSFC_AR15_9mm_Desert,	W,		1200,		200
		MSFC_AR15_9mm_Black,	W,		1200,		200
		MSFC_AR15_9mm_Green,	W,		1200,		200
		MSFC_P250,	W,		350,		150
		
		MSFC_VPO136,	W,		800,		150
		MSFC_Vepr15,	W,		900,		200
		MSFC_SaigaMK223Rem,	W,		1800,		700
		MSFC_Tigr308,	W,		800,		275
		MSFC_AKCR2019,	W,		2000,		2000
		MSFC_AK15M,	W,		2000,		350
		MSFC_AK12M,	W,		2000,		350
		MSFC_AK13M,	W,		2000,		350
		MSFC_RPK74,	W,		3000,		600	
		MSFC_TacAR15,	W,		2000,		350
		MSFC_AR15,	W,		2000,		350		
		MSFC_Mossberg590,	W,		1500,		300
		MSFC_BlackEagleII,	W,		1500,		300
		MSFC_M16A4,	W,		2000,		350
		MSFC_TacAR15_SBR,	W,		2000,		400
		MSFC_AS_VAL,	W,		2000,		200
		MSFC_AK_ALFA,	W,		2000,		200
		MSFC_HK416,	W,		2000,		300
		MSFC_AK15,	W,		2000,		300
		MSFC_AK103,	W,		2000,		300
		MSFC_SCAR17,	W,		2500,		350
		MSFC_RPK,	W,		3500,		500
		MSFC_AKM_Tan,	W,		2000,		300
		MSFC_AKM_Green,	W,		2000,		300
		MSFC_AKM_SURPAT_Tan,	W,		2000,		300
		MSFC_AKM_Black,	W,		2000,		300
		MSFC_AKM_White,	W,		2000,		300
		MSFC_AKM_Gray,	W,		2000,		300
		MSFC_AKM_Golden,	W,		2000,		300
		MSFC_AKM_ATACS_FG,	W,		2000,		300
		MSFC_AKM_HELL,	W,		2000,		300
		MSFC_M4A1_White,	W,		2000,		300
		MSFC_M4A1_ATACS_FG,	W,		2000,		300
		MSFC_M4A1_SURPAT_TAN,	W,		2000,		300
		MSFC_AKM_BLUE,	W,		2000,		300
		MSFC_AKM_EMR,	W,		2000,		300
		MSFC_AKM_Flecktarn,	W,		2000,		300
		MSFC_AKM_HEX,	W,		2000,		300
		MSFC_AKM_MARPAT_WD,	W,		2000,		300
		MSFC_AKM_Multicam,	W,		2000,		300
		MSFC_AKM_MulticamBlack,	W,		2000,		300
		MSFC_AKM_MulticamTropic,	W,		2000,		300
		MSFC_AKM_SNAKE,	W,		2000,		300
		MSFC_AKM_SNAKE_GREEN,	W,		2000,		300
		MSFC_AKM_SURPAT,	W,		2000,		300
		MSFC_AKM_ViperWestern,	W,		2000,		300
		MSFC_AKM_WOODLAND,	W,		2000,		300
		MSFC_M4A1_BLUE,	W,		2000,		300
		MSFC_M4A1_EMR,	W,		2000,		300
		MSFC_M4A1_Flecktarn,	W,		2000,		300
		MSFC_M4A1_HEX,	W,		2000,		300
		MSFC_M4A1_MARPAT_WD,	W,		2000,		300
		MSFC_M4A1_Multicam,	W,		2000,		300
		MSFC_M4A1_MulticamBlack,	W,		2000,		300
		MSFC_M4A1_MulticamTropic,	W,		2000,		300
		MSFC_M4A1_SNAKE,	W,		2000,		300
		MSFC_M4A1_SNAKE_GREEN,	W,		2000,		300
		MSFC_M4A1_SURPAT,	W,		2000,		300
		MSFC_M4A1_ViperWestern,	W,		2000,		300
		MSFC_M4A1_WOODLAND,	W,		2000,		300
		MSFC_AKM_ATACS_AU,	W,		2000,		300
		MSFC_M4A1_ATACS_AU,	W,		2000,		300
		MSFC_UMP_WHITE,	W,		800,		200
		MSFC_UMP_ATACS_AU,	W,		800,		200
		MSFC_UMP_ATACS_FG,	W,		800,		200
		MSFC_UMP_BLUE,	W,		800,		200
		MSFC_UMP_EMR,	W,		800,		200
		MSFC_UMP_Flecktarn,	W,		800,		200
		MSFC_UMP_HEX,	W,		800,		200
		MSFC_UMP_MARPAT_WD,	W,		800,		200
		MSFC_UMP_MULTICAM,	W,		800,		200
		MSFC_UMP_MULTICAM_BLACK,	W,		800,		200
		MSFC_UMP_MULTICAM_TROPIC,	W,		800,		200
		MSFC_UMP_SNAKE,	W,		800,		200
		MSFC_UMP_SNAKE_GREEN,	W,		800,		200
		MSFC_UMP_SURPAT,	W,		800,		200
		MSFC_UMP_VIPER_WESTERN,	W,		800,		200
		MSFC_UMP_Woodland,	W,		800,		200
		MSFC_UMP_SURPAT_TAN,	W,		800,		200
		MSFC_AKM_ORANGE,	W,		1300,		200
		MSFC_AKM_RED,	W,		1300,		300
		MSFC_AKM_DARK,	W,		1300,		300
		MSFC_AKM_MATRIX,	W,		1300,		300
		MSFC_AKM_REDBLACKWHITE,	W,		1300,		300
		MSFC_AKM_Honeycomb,	W,		1300,		300
		MSFC_AKM_STAR,	W,		1300,		300
		MSFC_M4A1_ORANGE,	W,		2200,		300
		MSFC_M4A1_RED,	W,		2200,		350
		MSFC_M4A1_DARK,	W,		2200,		350
		MSFC_M4A1_MATRIX,	W,		2200,		350
		MSFC_M4A1_REDBLACKWHITE,	W,		2200,		350
		MSFC_M4A1_Honeycomb,	W,		2200,		350
		MSFC_M4A1_STAR,	W,		2200,		350
		MSFC_UMP_ORANGE,	W,		2200,		1500
		MSFC_UMP_RED,	W,		850,		200
		MSFC_UMP_DARK,	W,		850,		200
		MSFC_UMP_MATRIX,	W,		850,		200
		MSFC_UMP_REDBLACKWHITE,	W,		850,		200
		MSFC_UMP_Honeycomb,	W,		850,		200
		MSFC_UMP_STAR,	W,		850,		200
		MSFC_MP5K_WHITE,	W,		850,		200
		MSFC_MP5K_ATACS_AU,	W,		850,		200
		MSFC_MP5K_ATACS_FG,	W,		850,		200
		MSFC_MP5K_BLUE,	W,		850,		200
		MSFC_MP5K_EMR,	W,		850,		200
		MSFC_MP5K_Flecktarn,	W,		850,		200
		MSFC_MP5K_HEX,	W,		850,		200
		MSFC_MP5K_MARPAT_WD,	W,		850,		200
		MSFC_MP5K_MULTICAM
		MSFC_MP5K_MULTICAM_BLACK,	W,		850,		200
		MSFC_MP5K_MULTICAM_TROPIC,	W,		850,		200
		MSFC_MP5K_SNAKE,	W,		850,		200
		MSFC_MP5K_SNAKE_GREEN,	W,		850,		200
		MSFC_MP5K_SURPAT,	W,		850,		200
		MSFC_MP5K_VIPER_WESTERN,	W,		850,		200
		MSFC_MP5K_Woodland,	W,		850,		200
		MSFC_MP5K_SURPAT_TAN,	W,		850,		200
		MSFC_MP5K_ORANGE,	W,		850,		200
		MSFC_MP5K_RED,	W,		850,		200
		MSFC_MP5K_DARK,	W,		850,		200
		MSFC_MP5K_MATRIX,	W,		850,		200
		MSFC_MP5K_REDBLACKWHITE,	W,		850,		200
		MSFC_MP5K_Honeycomb,	W,		850,		200
		MSFC_MP5K_STAR,	W,		850,		200
		MSFC_AKS74U_WHITE,	W,		850,		200
		MSFC_AKS74U_ATACS_AU,	W,		850,		200
		MSFC_AKS74U_ATACS_FG,	W,		850,		200
		MSFC_AKS74U_BLUE,	W,		850,		200
		MSFC_AKS74U_EMR,	W,		850,		200
		MSFC_AKS74U_Flecktarn,	W,		850,		200
		MSFC_AKS74U_HEX,	W,		850,		200
		MSFC_AKS74U_MARPAT_WD,	W,		850,		200
		MSFC_AKS74U_MULTICAM,	W,		850,		200
		MSFC_AKS74U_MULTICAM_BLACK,	W,		850,		200
		MSFC_AKS74U_MULTICAM_TROPIC,	W,		850,		200
		MSFC_AKS74U_SNAKE,	W,		850,		200
		MSFC_AKS74U_SNAKE_GREEN,	W,		850,		200
		MSFC_AKS74U_SURPAT,	W,		850,		200
		MSFC_AKS74U_VIPER_WESTERN,	W,		850,		200
		MSFC_AKS74U_Woodland,	W,		850,		200
		MSFC_AKS74U_SURPAT_TAN,	W,		850,		200
		MSFC_AKS74U_ORANGE,	W,		850,		200
		MSFC_AKS74U_RED,	W,		850,		200
		MSFC_AKS74U_DARK,	W,		850,		200
		MSFC_AKS74U_MATRIX,	W,		850,		200
		MSFC_AKS74U_REDBLACKWHITE,	W,		850,		200
		MSFC_AKS74U_Honeycomb,	W,		850,		200
		MSFC_AKS74U_STAR,	W,		850,		200
		MSFC_SKS_WHITE,	W,		800,		300
		MSFC_SKS_ATACS_AU,	W,		800,		300
		MSFC_SKS_ATACS_FG,	W,		800,		300
		MSFC_SKS_BLUE,	W,		800,		300
		MSFC_SKS_EMR,	W,		800,		300
		MSFC_SKS_Flecktarn,	W,		800,		300
		MSFC_SKS_HEX,	W,		800,		300
		MSFC_SKS_MARPAT_WD,	W,		800,		300
		MSFC_SKS_MULTICAM,	W,		800,		300
		MSFC_SKS_MULTICAM_BLACK,	W,		800,		300
		MSFC_SKS_MULTICAM_TROPIC,	W,		800,		300
		MSFC_SKS_SNAKE,	W,		800,		300
		MSFC_SKS_SNAKE_GREEN,	W,		800,		300
		MSFC_SKS_SURPAT,	W,		800,		300
		MSFC_SKS_VIPER_WESTERN,	W,		800,		300
		MSFC_SKS_Woodland,	W,		800,		300
		MSFC_SKS_SURPAT_TAN,	W,		800,		300
		MSFC_SKS_ORANGE,	W,		800,		300
		MSFC_SKS_RED,	W,		800,		300
		MSFC_SKS_DARK,	W,		800,		300
		MSFC_SKS_MATRIX,	W,		800,		300
		MSFC_SKS_REDBLACKWHITE,	W,		800,		300
		MSFC_SKS_Honeycomb,	W,		800,		300
		MSFC_SKS_STAR,	W,		800,		300
		MSFC_Mosin9130_WHITE,	W,		1400,		400
		MSFC_Mosin9130_ATACS_AU,	W,		1400,		400
		MSFC_Mosin9130_ATACS_FG,	W,		1400,		400
		MSFC_Mosin9130_BLUE,	W,		1400,		400
		MSFC_Mosin9130_EMR,	W,		1400,		400
		MSFC_Mosin9130_Flecktarn,	W,		1400,		400
		MSFC_Mosin9130_HEX,	W,		1400,		400
		MSFC_Mosin9130_MARPAT_WD,	W,		1400,		400
		MSFC_Mosin9130_MULTICAM,	W,		1400,		400
		MSFC_Mosin9130_MULTICAM_BLACK,	W,		1400,		400
		MSFC_Mosin9130_MULTICAM_TROPIC,	W,		1400,		400
		MSFC_Mosin9130_SNAKE,	W,		1400,		400
		MSFC_Mosin9130_SNAKE_GREEN,	W,		1400,		400
		MSFC_Mosin9130_SURPAT,	W,		1400,		400
		MSFC_Mosin9130_VIPER_WESTERN,	W,		1400,		400
		MSFC_Mosin9130_Woodland,	W,		1400,		400
		MSFC_Mosin9130_SURPAT_TAN,	W,		1400,		400
		MSFC_Mosin9130_ORANGE,	W,		1400,		400
		MSFC_Mosin9130_RED,	W,		1400,		400
		MSFC_Mosin9130_DARK,	W,		1400,		400
		MSFC_Mosin9130_MATRIX,	W,		1400,		400
		MSFC_Mosin9130_REDBLACKWHITE,	W,		1400,		400
		MSFC_Mosin9130_Honeycomb,	W,		1400,		400
		MSFC_Mosin9130_STAR,	W,		1400,		400
		MSFC_SawedoffMosin9130_WHITE,	W,		1000,		350
		MSFC_SawedoffMosin9130_ATACS_AU,	W,		1000,		350
		MSFC_SawedoffMosin9130_ATACS_FG,	W,		1000,		350
		MSFC_SawedoffMosin9130_BLUE,	W,		1000,		350
		MSFC_SawedoffMosin9130_EMR,	W,		1000,		350
		MSFC_SawedoffMosin9130_Flecktarn,	W,		1000,		350
		MSFC_SawedoffMosin9130_HEX,	W,		1000,		350
		MSFC_SawedoffMosin9130_MARPAT_WD,	W,		1000,		350
		MSFC_SawedoffMosin9130_MULTICAM,	W,		1000,		350
